"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2024","339.75","338.00","339.75","338.00","0.58K","1.12%"
"02/21/2024","336.00","333.00","340.00","333.00","1.03K","0.90%"
"02/20/2024","333.00","333.00","333.00","333.00","0.63K","-3.27%"
"02/19/2024","344.25","344.00","344.25","344.00","0.06K","-0.07%"
"02/16/2024","344.50","344.75","344.75","344.50","0.00K","3.77%"
"02/15/2024","332.00","342.00","344.50","332.00","22.58K","0.00%"
"02/14/2024","332.00","333.25","335.00","332.00","13.96K","-0.60%"
"02/13/2024","334.00","334.00","334.00","334.00","0.00K","-3.12%"
"02/12/2024","344.75","345.00","345.00","333.00","10.00K","-0.07%"
"02/09/2024","345.00","332.50","348.50","332.50","0.03K","2.99%"
"02/08/2024","335.00","335.00","335.00","335.00","0.02K","0.00%"
"02/07/2024","335.00","330.50","335.00","330.50","4.43K","0.15%"
"02/06/2024","334.50","330.00","335.00","330.00","0.28K","1.36%"
"02/02/2024","330.00","331.00","331.00","330.00","0.39K","-0.23%"
"02/01/2024","330.75","330.50","335.00","330.50","0.03K","0.23%"
"01/31/2024","330.00","350.00","350.00","330.00","0.31K","0.00%"
"01/30/2024","330.00","340.00","352.00","330.00","18.36K","-1.49%"
"01/29/2024","335.00","335.00","335.00","335.00","0.01K","1.52%"
"01/26/2024","330.00","331.00","331.00","330.00","10.13K","0.00%"
"01/24/2024","330.00","330.00","330.00","329.00","5.35K","0.00%"
"01/23/2024","330.00","334.00","335.00","330.00","3.00K","-1.49%"
"01/22/2024","335.00","335.00","335.00","334.00","1.14K","-1.47%"
"01/18/2024","340.00","340.00","340.00","340.00","0.10K","0.00%"
"01/17/2024","340.00","340.00","341.00","340.00","0.03K","-1.38%"
"01/16/2024","344.75","344.75","344.75","344.75","0.01K","0.22%"
"01/12/2024","344.00","345.00","345.00","340.00","0.53K","-0.29%"
"01/11/2024","345.00","340.00","345.00","340.00","0.08K","-1.36%"
"01/09/2024","349.75","339.50","349.75","339.50","0.02K","3.02%"
"01/08/2024","339.50","340.00","340.00","339.50","1.24K","-0.15%"
